x y z p
5.493227 -0.005752 0.000000 0.950000
4.503124 -3.008891 0.000000 0.950000
5.493227 -0.005752 0.000000 0.950000
4.503124 3.008891 0.000000 0.950000
4.503124 -3.008891 0.000000 0.950000
4.503124 -3.008891 0.000000 0.950000
5.493227 -0.005752 0.000000 0.950000
4.503124 3.008891 0.000000 0.950000
4.503124 3.008891 0.000000 0.950000
4.503124 -3.008891 0.000000 0.950000
5.481177 -0.994122 0.000000 0.950000
5.493227 -0.005752 0.000000 0.950000
5.481177 0.994122 0.000000 0.950000
4.503124 3.008891 0.000000 0.950000
4.503124 -3.008891 0.000000 0.950000
4.503124 -3.008891 0.000000 0.950000
5.481177 -0.994122 0.000000 0.950000
5.493227 -0.005752 0.000000 0.950000
5.481177 0.994122 0.000000 0.950000
4.503124 3.008891 0.000000 0.950000
4.503124 3.008891 0.000000 0.950000
5.546653 -3.905201 -0.582977 0.777067
5.577205 -3.905201 0.000000 0.950000
5.546653 -3.905201 0.582977 0.777067
5.470548 -3.002806 -0.574978 0.777067
5.500681 -3.002806 0.000000 0.950000
5.470548 -3.002806 0.574978 0.777067
5.494498 -2.013034 -0.577495 0.777067
5.524763 -2.013034 0.000000 0.950000
5.494498 -2.013034 0.577495 0.777067
5.451150 -0.994122 -0.572939 0.777067
5.481177 -0.994122 0.000000 0.950000
5.451150 -0.994122 0.572939 0.777067
5.463135 -0.005752 -0.574199 0.777067
5.493227 -0.005752 0.000000 0.950000
5.463135 -0.005752 0.574199 0.777067
5.451150 0.994122 -0.572939 0.777067
5.481177 0.994122 0.000000 0.950000
5.451150 0.994122 0.572939 0.777067
5.494498 2.013034 -0.577495 0.777067
5.524763 2.013034 0.000000 0.950000
5.494498 2.013034 0.577495 0.777067
5.470548 3.002806 -0.574978 0.777067
5.500681 3.002806 0.000000 0.950000
5.470548 3.002806 0.574978 0.777067
5.546653 3.905201 -0.582977 0.777067
5.577205 3.905201 0.000000 0.950000
5.546653 3.905201 0.582977 0.777067
6.681196 -4.703992 -0.702222 0.777067
6.717998 -4.703992 0.000000 0.950000
6.681196 -4.703992 0.702222 0.777067
6.487431 -4.014647 -0.681856 0.777067
6.523165 -4.014647 0.000000 0.950000
6.487431 -4.014647 0.681856 0.777067
6.498619 -3.012407 -0.683032 0.777067
6.534415 -3.012407 0.000000 0.950000
6.498619 -3.012407 0.683032 0.777067
6.469790 -2.008790 -0.680002 0.777067
6.505427 -2.008790 0.000000 0.950000
6.469790 -2.008790 0.680002 0.777067
6.464949 -0.995887 -0.679494 0.777067
6.500560 -0.995887 0.000000 0.950000
6.464949 -0.995887 0.679494 0.777067
6.463427 -0.006806 -0.679334 0.777067
6.499029 -0.006806 0.000000 0.950000
6.463427 -0.006806 0.679334 0.777067
6.464949 0.995887 -0.679494 0.777067
6.500560 0.995887 0.000000 0.950000
6.464949 0.995887 0.679494 0.777067
6.469790 2.008790 -0.680002 0.777067
6.505427 2.008790 0.000000 0.950000
6.469790 2.008790 0.680002 0.777067
6.498619 3.012407 -0.683032 0.777067
6.534415 3.012407 0.000000 0.950000
6.498619 3.012407 0.683032 0.777067
6.487431 4.014647 -0.681856 0.777067
6.523165 4.014647 0.000000 0.950000
6.487431 4.014647 0.681856 0.777067
6.681196 4.703992 -0.702222 0.777067
6.717998 4.703992 0.000000 0.950000
6.681196 4.703992 0.702222 0.777067
7.485418 -5.029146 -0.786749 0.777067
7.526649 -5.029146 0.000000 0.950000
7.485418 -5.029146 0.786749 0.777067
7.469812 -4.002059 -0.785109 0.777067
7.510958 -4.002059 0.000000 0.950000
7.469812 -4.002059 0.785109 0.777067
7.429543 -2.989486 -0.780876 0.777067
7.470467 -2.989486 0.000000 0.950000
7.429543 -2.989486 0.780876 0.777067
7.436184 -1.988117 -0.781574 0.777067
7.477145 -1.988117 0.000000 0.950000
7.436184 -1.988117 0.781574 0.777067
7.475469 -0.994924 -0.785703 0.777067
7.516645 -0.994924 0.000000 0.950000
7.475469 -0.994924 0.785703 0.777067
7.463719 0.007859 -0.784468 0.777067
7.504831 0.007859 0.000000 0.950000
7.463719 0.007859 0.784468 0.777067
7.475469 0.994924 -0.785703 0.777067
7.516645 0.994924 0.000000 0.950000
7.475469 0.994924 0.785703 0.777067
7.436184 1.988117 -0.781574 0.777067
7.477145 1.988117 0.000000 0.950000
7.436184 1.988117 0.781574 0.777067
7.429543 2.989486 -0.780876 0.777067
7.470467 2.989486 0.000000 0.950000
7.429543 2.989486 0.780876 0.777067
7.469812 4.002059 -0.785109 0.777067
7.510958 4.002059 0.000000 0.950000
7.469812 4.002059 0.785109 0.777067
7.485418 5.029146 -0.786749 0.777067
7.526649 5.029146 0.000000 0.950000
7.485418 5.029146 0.786749 0.777067
8.446040 -5.946557 -0.887715 0.777067
8.492563 -5.946557 0.000000 0.950000
8.446040 -5.946557 0.887715 0.777067
8.427699 -4.973726 -0.885787 0.777067
8.474121 -4.973726 0.000000 0.950000
8.427699 -4.973726 0.885787 0.777067
8.426393 -3.981583 -0.885650 0.777067
8.472807 -3.981583 0.000000 0.950000
8.426393 -3.981583 0.885650 0.777067
8.487830 -3.017226 -0.892107 0.777067
8.534583 -3.017226 0.000000 0.950000
8.487830 -3.017226 0.892107 0.777067
8.461647 -2.011266 -0.889355 0.777067
8.508256 -2.011266 0.000000 0.950000
8.461647 -2.011266 0.889355 0.777067
8.481585 -1.010901 -0.891450 0.777067
8.528303 -1.010901 0.000000 0.950000
8.481585 -1.010901 0.891450 0.777067
8.464011 0.008912 -0.889603 0.777067
8.510633 0.008912 0.000000 0.950000
8.464011 0.008912 0.889603 0.777067
8.481585 1.010901 -0.891450 0.777067
8.528303 1.010901 0.000000 0.950000
8.481585 1.010901 0.891450 0.777067
8.461647 2.011266 -0.889355 0.777067
8.508256 2.011266 0.000000 0.950000
8.461647 2.011266 0.889355 0.777067
8.487830 3.017226 -0.892107 0.777067
8.534583 3.017226 0.000000 0.950000
8.487830 3.017226 0.892107 0.777067
8.426393 3.981583 -0.885650 0.777067
8.472807 3.981583 0.000000 0.950000
8.426393 3.981583 0.885650 0.777067
8.427699 4.973726 -0.885787 0.777067
8.474121 4.973726 0.000000 0.950000
8.427699 4.973726 0.885787 0.777067
8.446040 5.946557 -0.887715 0.777067
8.492563 5.946557 0.000000 0.950000
8.446040 5.946557 0.887715 0.777067
9.580583 -6.745347 -1.006960 0.777067
9.633355 -6.745347 0.000000 0.950000
9.580583 -6.745347 1.006960 0.777067
9.440035 -5.979766 -0.992188 0.777067
9.492033 -5.979766 0.000000 0.950000
9.440035 -5.979766 0.992188 0.777067
9.464462 -5.009044 -0.994755 0.777067
9.516595 -5.009044 0.000000 0.950000
9.464462 -5.009044 0.994755 0.777067
9.435514 -3.984276 -0.991713 0.777067
9.487488 -3.984276 0.000000 0.950000
9.435514 -3.984276 0.991713 0.777067
9.462925 -3.012869 -0.994593 0.777067
9.515049 -3.012869 0.000000 0.950000
9.462925 -3.012869 0.994593 0.777067
9.413223 -1.985979 -0.989370 0.777067
9.465074 -1.985979 0.000000 0.950000
9.413223 -1.985979 0.989370 0.777067
9.412635 -0.993087 -0.989308 0.777067
9.464482 -0.993087 0.000000 0.950000
9.412635 -0.993087 0.989308 0.777067
9.464304 -0.009966 -0.994738 0.777067
9.516436 -0.009966 0.000000 0.950000
9.464304 -0.009966 0.994738 0.777067
9.412635 0.993087 -0.989308 0.777067
9.464482 0.993087 0.000000 0.950000
9.412635 0.993087 0.989308 0.777067
9.413223 1.985979 -0.989370 0.777067
9.465074 1.985979 0.000000 0.950000
9.413223 1.985979 0.989370 0.777067
9.462925 3.012869 -0.994593 0.777067
9.515049 3.012869 0.000000 0.950000
9.462925 3.012869 0.994593 0.777067
9.435514 3.984276 -0.991713 0.777067
9.487488 3.984276 0.000000 0.950000
9.435514 3.984276 0.991713 0.777067
9.464462 5.009044 -0.994755 0.777067
9.516595 5.009044 0.000000 0.950000
9.464462 5.009044 0.994755 0.777067
9.440035 5.979766 -0.992188 0.777067
9.492033 5.979766 0.000000 0.950000
9.440035 5.979766 0.992188 0.777067
9.580583 6.745347 -1.006960 0.777067
9.633355 6.745347 0.000000 0.950000
9.580583 6.745347 1.006960 0.777067
10.445943 -7.006418 -0.913902 0.799870
10.485845 -7.006418 0.000000 0.950000
10.445943 -7.006418 0.913902 0.799870
10.432712 -6.000121 -0.912744 0.799870
10.472563 -6.000121 0.000000 0.950000
10.432712 -6.000121 0.912744 0.799870
10.438490 -4.988946 -0.913250 0.799870
10.478363 -4.988946 0.000000 0.950000
10.438490 -4.988946 0.913250 0.799870
10.444725 -3.991112 -0.913795 0.799870
10.484622 -3.991112 0.000000 0.950000
10.444725 -3.991112 0.913795 0.799870
10.448676 -2.999631 -0.914141 0.799870
10.488588 -2.999631 0.000000 0.950000
10.448676 -2.999631 0.914141 0.799870
10.447954 -2.000667 -0.914078 0.799870
10.487864 -2.000667 0.000000 0.950000
10.447954 -2.000667 0.914078 0.799870
10.434470 -1.003028 -0.912898 0.799870
10.474328 -1.003028 0.000000 0.950000
10.434470 -1.003028 0.912898 0.799870
10.482198 -0.011019 -0.917073 0.799870
10.522238 -0.011019 0.000000 0.950000
10.482198 -0.011019 0.917073 0.799870
10.434470 1.003028 -0.912898 0.799870
10.474328 1.003028 0.000000 0.950000
10.434470 1.003028 0.912898 0.799870
10.447954 2.000667 -0.914078 0.799870
10.487864 2.000667 0.000000 0.950000
10.447954 2.000667 0.914078 0.799870
10.448676 2.999631 -0.914141 0.799870
10.488588 2.999631 0.000000 0.950000
10.448676 2.999631 0.914141 0.799870
10.444725 3.991112 -0.913795 0.799870
10.484622 3.991112 0.000000 0.950000
10.444725 3.991112 0.913795 0.799870
10.438490 4.988946 -0.913250 0.799870
10.478363 4.988946 0.000000 0.950000
10.438490 4.988946 0.913250 0.799870
10.432712 6.000121 -0.912744 0.799870
10.472563 6.000121 0.000000 0.950000
10.432712 6.000121 0.912744 0.799870
10.445943 7.006418 -0.913902 0.799870
10.485845 7.006418 0.000000 0.950000
10.445943 7.006418 0.913902 0.799870
11.449946 -8.000224 -1.001740 0.799870
11.493683 -8.000224 0.000000 0.950000
11.449946 -8.000224 1.001740 0.799870
11.457978 -6.995921 -1.002443 0.799870
11.501745 -6.995921 0.000000 0.950000
11.457978 -6.995921 1.002443 0.799870
11.474052 -6.023962 -1.003850 0.799870
11.517881 -6.023962 0.000000 0.950000
11.474052 -6.023962 1.003850 0.799870
11.452291 -4.993848 -1.001946 0.799870
11.496037 -4.993848 0.000000 0.950000
11.452291 -4.993848 1.001946 0.799870
11.427690 -3.994744 -0.999793 0.799870
11.471341 -3.994744 0.000000 0.950000
11.427690 -3.994744 0.999793 0.799870
11.485230 -3.007404 -1.004827 0.799870
11.529102 -3.007404 0.000000 0.950000
11.485230 -3.007404 1.004827 0.799870
11.465725 -2.004593 -1.003121 0.799870
11.509521 -2.004593 0.000000 0.950000
11.465725 -2.004593 1.003121 0.799870
11.441347 -0.994713 -1.000988 0.799870
11.485051 -0.994713 0.000000 0.950000
11.441347 -0.994713 1.000988 0.799870
11.484173 -0.012072 -1.004735 0.799870
11.528040 -0.012072 0.000000 0.950000
11.484173 -0.012072 1.004735 0.799870
11.441347 0.994713 -1.000988 0.799870
11.485051 0.994713 0.000000 0.950000
11.441347 0.994713 1.000988 0.799870
11.465725 2.004593 -1.003121 0.799870
11.509521 2.004593 0.000000 0.950000
11.465725 2.004593 1.003121 0.799870
11.485230 3.007404 -1.004827 0.799870
11.529102 3.007404 0.000000 0.950000
11.485230 3.007404 1.004827 0.799870
11.427690 3.994744 -0.999793 0.799870
11.471341 3.994744 0.000000 0.950000
11.427690 3.994744 0.999793 0.799870
11.452291 4.993848 -1.001946 0.799870
11.496037 4.993848 0.000000 0.950000
11.452291 4.993848 1.001946 0.799870
11.474052 6.023962 -1.003850 0.799870
11.517881 6.023962 0.000000 0.950000
11.474052 6.023962 1.003850 0.799870
11.457978 6.995921 -1.002443 0.799870
11.501745 6.995921 0.000000 0.950000
11.457978 6.995921 1.002443 0.799870
11.449946 8.000224 -1.001740 0.799870
11.493683 8.000224 0.000000 0.950000
11.449946 8.000224 1.001740 0.799870
12.564096 -8.831080 -1.099216 0.799870
12.612089 -8.831080 0.000000 0.950000
12.564096 -8.831080 1.099216 0.799870
12.457201 -8.018687 -1.089864 0.799870
12.504786 -8.018687 0.000000 0.950000
12.457201 -8.018687 1.089864 0.799870
12.444462 -6.987265 -1.088749 0.799870
12.491998 -6.987265 0.000000 0.950000
12.444462 -6.987265 1.088749 0.799870
12.442069 -5.984012 -1.088540 0.799870
12.489595 -5.984012 0.000000 0.950000
12.442069 -5.984012 1.088540 0.799870
12.451105 -5.001640 -1.089331 0.799870
12.498666 -5.001640 0.000000 0.950000
12.451105 -5.001640 1.089331 0.799870
12.482490 -3.998888 -1.092076 0.799870
12.530170 -3.998888 0.000000 0.950000
12.482490 -3.998888 1.092076 0.799870
12.437808 -3.011291 -1.088167 0.799870
12.485318 -3.011291 0.000000 0.950000
12.437808 -3.011291 1.088167 0.799870
12.481211 -2.006803 -1.091964 0.799870
12.528887 -2.006803 0.000000 0.950000
12.481211 -2.006803 1.091964 0.799870
12.446457 -0.998659 -1.088924 0.799870
12.494000 -0.998659 0.000000 0.950000
12.446457 -0.998659 1.088924 0.799870
12.486147 -0.013125 -1.092396 0.799870
12.533842 -0.013125 0.000000 0.950000
12.486147 -0.013125 1.092396 0.799870
12.446457 0.998659 -1.088924 0.799870
12.494000 0.998659 0.000000 0.950000
12.446457 0.998659 1.088924 0.799870
12.481211 2.006803 -1.091964 0.799870
12.528887 2.006803 0.000000 0.950000
12.481211 2.006803 1.091964 0.799870
12.437808 3.011291 -1.088167 0.799870
12.485318 3.011291 0.000000 0.950000
12.437808 3.011291 1.088167 0.799870
12.482490 3.998888 -1.092076 0.799870
12.530170 3.998888 0.000000 0.950000
12.482490 3.998888 1.092076 0.799870
12.451105 5.001640 -1.089331 0.799870
12.498666 5.001640 0.000000 0.950000
12.451105 5.001640 1.089331 0.799870
12.442069 5.984012 -1.088540 0.799870
12.489595 5.984012 0.000000 0.950000
12.442069 5.984012 1.088540 0.799870
12.444462 6.987265 -1.088749 0.799870
12.491998 6.987265 0.000000 0.950000
12.444462 6.987265 1.088749 0.799870
12.457201 8.018687 -1.089864 0.799870
12.504786 8.018687 0.000000 0.950000
12.457201 8.018687 1.089864 0.799870
12.564096 8.831080 -1.099216 0.799870
12.612089 8.831080 0.000000 0.950000
12.564096 8.831080 1.099216 0.799870
13.476463 -9.026673 -0.942366 0.832222
13.509371 -9.026673 0.000000 0.950000
13.476463 -9.026673 0.942366 0.832222
13.470544 -8.020942 -0.941952 0.832222
13.503437 -8.020942 0.000000 0.950000
13.470544 -8.020942 0.941952 0.832222
13.490365 -7.030791 -0.943338 0.832222
13.523307 -7.030791 0.000000 0.950000
13.490365 -7.030791 0.943338 0.832222
13.477535 -5.987005 -0.942441 0.832222
13.510446 -5.987005 0.000000 0.950000
13.477535 -5.987005 0.942441 0.832222
13.464885 -4.990296 -0.941556 0.832222
13.497765 -4.990296 0.000000 0.950000
13.464885 -4.990296 0.941556 0.832222
13.469176 -3.996931 -0.941857 0.832222
13.502067 -3.996931 0.000000 0.950000
13.469176 -3.996931 0.941857 0.832222
13.487392 -2.999860 -0.943130 0.832222
13.520327 -2.999860 0.000000 0.950000
13.487392 -2.999860 0.943130 0.832222
13.436391 -2.000971 -0.939564 0.832222
13.469201 -2.000971 0.000000 0.950000
13.436391 -2.000971 0.939564 0.832222
13.470742 -0.986906 -0.941966 0.832222
13.503636 -0.986906 0.000000 0.950000
13.470742 -0.986906 0.941966 0.832222
13.429482 -0.014098 -0.939081 0.832222
13.462275 -0.014098 0.000000 0.950000
13.429482 -0.014098 0.939081 0.832222
13.470742 0.986906 -0.941966 0.832222
13.503636 0.986906 0.000000 0.950000
13.470742 0.986906 0.941966 0.832222
13.436391 2.000971 -0.939564 0.832222
13.469201 2.000971 0.000000 0.950000
13.436391 2.000971 0.939564 0.832222
13.487392 2.999860 -0.943130 0.832222
13.520327 2.999860 0.000000 0.950000
13.487392 2.999860 0.943130 0.832222
13.469176 3.996931 -0.941857 0.832222
13.502067 3.996931 0.000000 0.950000
13.469176 3.996931 0.941857 0.832222
13.464885 4.990296 -0.941556 0.832222
13.497765 4.990296 0.000000 0.950000
13.464885 4.990296 0.941556 0.832222
13.477535 5.987005 -0.942441 0.832222
13.510446 5.987005 0.000000 0.950000
13.477535 5.987005 0.942441 0.832222
13.490365 7.030791 -0.943338 0.832222
13.523307 7.030791 0.000000 0.950000
13.490365 7.030791 0.943338 0.832222
13.470544 8.020942 -0.941952 0.832222
13.503437 8.020942 0.000000 0.950000
13.470544 8.020942 0.941952 0.832222
13.476463 9.026673 -0.942366 0.832222
13.509371 9.026673 0.000000 0.950000
13.476463 9.026673 0.942366 0.832222
14.452933 -9.999148 -1.519065 0.777067
14.497144 -9.999148 -1.013739 0.832222
14.532544 -9.999148 0.000000 0.950000
14.497144 -9.999148 1.013739 0.832222
14.452933 -9.999148 1.519065 0.777067
14.458659 -9.000083 -1.519666 0.777067
14.502888 -9.000083 -1.014141 0.832222
14.538301 -9.000083 0.000000 0.950000
14.502888 -9.000083 1.014141 0.832222
14.458659 -9.000083 1.519666 0.777067
14.411544 -8.009324 -1.514714 0.777067
14.455628 -8.009324 -1.010836 0.832222
14.490927 -8.009324 0.000000 0.950000
